committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Coloradans Against Jared Polis,Independent Expenditure Committee,2,1/1/21 0:00,Firstbank,Denver,CO,80203,Bank Fees,
Take Back Colorado,Independent Expenditure Committee,1.1,1/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,4.3,1/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/1/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Coloradans Against Jared Polis,Independent Expenditure Committee,0.49,1/2/21 0:00,Winred Technical Services Llc,Arlington,VA,22219,Fundraising Expenses,
Friends For The Future (F3),527 Political Organization,0.7,1/2/21 0:00,Anedot Inc,New Orleans,LA,70112,Bank Fees,Anedot (Sielaff)
Take Back Colorado,Independent Expenditure Committee,2.3,1/2/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/2/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
All Together Colorado,Independent Expenditure Committee,7000,1/4/21 0:00,Mountaintop Strategies,Thornton,CO,80229,Consultant & Professional Services,
All Together Colorado,Independent Expenditure Committee,6000,1/4/21 0:00,Bluemountain Strategies,Denver,CO,80203,Consultant & Professional Services,
Better Colorado Alliance,Independent Expenditure Committee,6500,1/4/21 0:00,Peak Political,Lakewood,CO,80214,Consultant & Professional Services,
Better Jobs Coalition,Independent Expenditure Committee,15000,1/4/21 0:00,Readyco,Denver,CO,80205,Other,Returned Contribution
Better Jobs Coalition,Independent Expenditure Committee,2500,1/4/21 0:00,"Mih, Llc",Denver,CO,80203,Consultant & Professional Services,Professional Services
Better Jobs Coalition,Independent Expenditure Committee,5000,1/4/21 0:00,Tourbillion,Littleton,CO,80122,Consultant & Professional Services,Professional Services
Better Jobs Coalition,Independent Expenditure Committee,100,1/4/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Sos
Colorado Chamber 527 Political Organization,527 Political Organization,5000,1/4/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Friends For The Future (F3),527 Political Organization,12.52,1/4/21 0:00,Google Llc,Mountain View,CO,94043,Other,G-Suite Fee For Dedicated Email Addresses
Fund For Coloradoís Energy Future,527 Political Organization,4000,1/4/21 0:00,All Together Colorado,Denver,CO,80250,Contributions,
Raising Colorado,Independent Expenditure Committee,10,1/4/21 0:00,First Bank,Denver,CO,80218,Bank Fees,Bank Fee
Take Back Colorado,Independent Expenditure Committee,1.1,1/4/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/4/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/5/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Colorado Campaign For Jobs And Opportunity,Independent Expenditure Committee,1500,1/7/21 0:00,Bulldog Compliance,Beverly,MA,1915,Consultant & Professional Services,Treasury And Compliance Consulting
Values First Colorado,527 Political Organization,1000,1/7/21 0:00,Campaign Law Accountability Watchdog,Castle Rock,CO,80109,Consultant & Professional Services,Campaign Finance Management Services
Blueflower Action,Independent Expenditure Committee,360,1/8/21 0:00,Scarlett Greene Llc,Denver,CO,80210,Consultant & Professional Services,
Take Back Colorado,Independent Expenditure Committee,0.7,1/8/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/8/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/9/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/9/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/9/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Coloradans Against Jared Polis,Independent Expenditure Committee,126.71,1/10/21 0:00,Target Corporation,Glendale,CO,80246-1510,Office Equipment & Supplies,Printer Ink
Take Back Colorado,Independent Expenditure Committee,2.3,1/10/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/10/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/10/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Better Colorado Alliance,Independent Expenditure Committee,54.41,1/11/21 0:00,Zoom,San Jose,CA,95113,Office Equipment & Supplies,
"Better Leaders, Better Colorado",Independent Expenditure Committee,250,1/11/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Coloradans For Constitutional Values,Independent Expenditure Committee,250,1/11/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Colorado Hospitals Action Fund,Independent Expenditure Committee,44.56,1/11/21 0:00,,,,,Bank Fees,
Friends Of Farmers,527 Political Organization,5000,1/11/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Friends Of Farmers,527 Political Organization,5000,1/11/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Senate Majority Fund,527 Political Organization,600,1/11/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Services
Senate Majority Fund,527 Political Organization,3283.35,1/11/21 0:00,Westbrooke Group,Denver,CO,80206,Fundraising Expenses,Fundraising Consulting
Take Back Colorado,Independent Expenditure Committee,0.7,1/11/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,2,1/11/21 0:00,First Bank,Loveland,CO,80537,Bank Fees,Bank Fees
Unite Colorado Election Fund,Independent Expenditure Committee,250,1/11/21 0:00,Polestar,Denver,CO,80203,Consultant & Professional Services,Monthly Consulting Fee
Colorado Hospitals Action Fund,Independent Expenditure Committee,5000,1/12/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Colorado Hospitals Action Fund,Independent Expenditure Committee,5000,1/12/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Take Back Colorado,Independent Expenditure Committee,1.3,1/12/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1000,1/12/21 0:00,Austin  Hein,Golden,CO,80401,Consultant & Professional Services,Consulting
Take Back Colorado,Independent Expenditure Committee,2000,1/12/21 0:00,Jacob  Maerli,Golden,CO,80401,Consultant & Professional Services,Consulting
Take Back Colorado,Independent Expenditure Committee,2000,1/12/21 0:00,Aaron  Yates,Lexington,KY,40509,Consultant & Professional Services,Conulting
Better Colorado Alliance,Independent Expenditure Committee,6.5,1/13/21 0:00,,,,,Other,Website
Friends For The Future (F3),527 Political Organization,500,1/13/21 0:00,Julie  Herrmann,Thornton,CO,80602,Consultant & Professional Services,
Take Back Colorado,Independent Expenditure Committee,0.7,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.9,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,1.3,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.5,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Take Back Colorado,Independent Expenditure Committee,0.7,1/13/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
Colorado Fund For Freedom,Independent Expenditure Committee,50,1/14/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Miscellaneous,
Colorado Sierra Club Independent Action,Independent Expenditure Committee,139.95,1/14/21 0:00,"Grammarly, Inc.",San Francisco,CA,94104,Miscellaneous,Software Renewal.
Take Back Colorado,Independent Expenditure Committee,0.7,1/14/21 0:00,"Anedot, Inc",New Orleans,LA,70112,Bank Fees,Cc Fees
