District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Senate District 11,"Avila, Yolanda",Democratic,128,11/16/21 0:00,Yolanda L Avila,Colo Spgs,CO,80910,Rent & Utilities,Pro-Rated Po Box Rental
Senate District 11,"Avila, Yolanda",Democratic,53.53,11/23/21 0:00,Karin B White,Colo Spgs,CO,80919,Other,Postcard Stock And Stamps For Ty Notes
Senate District 11,"Avila, Yolanda",Democratic,500,12/12/21 0:00,El Paso County Democratic Party,Colorado Springs,CO,80905,Advertising,Silver Sponsorship At El Paso County Gala To Include A Full Page Ad
Senate District 11,"Avila, Yolanda",Democratic,350.06,12/16/21 0:00,C & D Printing And Mailing,Denver,CO,80212,Fundraising Expenses,Thank You Postcards And Donation Envelopes
Senate District 11,"Avila, Yolanda",Democratic,500,12/24/21 0:00,Colorado Democratic Party,Denver,CO,80203,Other,Van Voter File Access For Sd11
Senate District 11,"Avila, Yolanda",Democratic,304.07,12/31/21 0:00,Actblue Techinical Services,Somerville,MA,2144,Fundraising Expenses,Fees For This Reporting Period
Senate District 11,"Avila, Yolanda",Democratic,400,12/31/21 0:00,Dawn  Barnhart,Denver,CO,80206,Consultant & Professional Services,Website Updates
Senate District 11,"Avila, Yolanda",Democratic,100,12/31/21 0:00,Dawn Barnhart Design,Denver,CO,80206,Consultant & Professional Services,Website Updates
Senate District 11,"Avila, Yolanda",Democratic,125,12/31/21 0:00,Js Web Solutions,Idaho Falls,ID,83402,Consultant & Professional Services,Website Updates
Senate District 04,"Baisley, Mark",Republican,4.99,11/15/21 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,2,11/30/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 04,"Baisley, Mark",Republican,4.3,12/3/21 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,9.6,12/4/21 0:00,Anedot Inc.,New Orleans,LA,70112,Bank Fees,Online Payment Processing Fee
Senate District 04,"Baisley, Mark",Republican,4.99,12/14/21 0:00,Whitepages,Seattle,WA,98101,Other,Address Search Service Subscription
Senate District 04,"Baisley, Mark",Republican,2,12/31/21 0:00,1St Bank,Denver,CO,80231,Bank Fees,Bank Fees (Debit Card)
Senate District 22,"Danielson, Jessie",Democratic,150,1/4/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,1/4/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,23.94,1/19/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,30,1/25/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,11.99,1/25/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,150,2/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,2/3/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,2/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,2/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,62.69,2/26/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,97.19,3/2/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,79.92,3/2/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,17.99,3/2/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,150,3/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,19.95,3/8/21 0:00,,,,,Miscellaneous,
Senate District 22,"Danielson, Jessie",Democratic,13.99,3/15/21 0:00,,,,,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,315.88,3/22/21 0:00,Amazon.Com Inc.,Seattle,WA,98109,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,11.99,3/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,3/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,18,4/5/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,4/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,4/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,18,5/4/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,5/24/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,5/24/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,18,6/3/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,200,6/21/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,11.99,6/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,6/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,200,7/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,7/2/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,22.35,7/8/21 0:00,Uber Technologies Inc.,San Francisco,CA,94103,Travel & Lodging,
Senate District 22,"Danielson, Jessie",Democratic,50.76,7/14/21 0:00,Apple Inc.,Cupertino,CA,95014,Office Equipment & Supplies,
Senate District 22,"Danielson, Jessie",Democratic,30,7/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
Senate District 22,"Danielson, Jessie",Democratic,11.99,7/23/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,200,8/2/21 0:00,Ngp Van,Somerville,MA,2144,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,18,8/3/21 0:00,,,,,Consultant & Professional Services,
Senate District 22,"Danielson, Jessie",Democratic,30,8/23/21 0:00,Cricket Wireless,Wheat Ridge,CO,80033,Telephone,
