committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Coloradans For Western Values Leadership Pac,Political Committee,21,1/2/21 0:00,Us Bank,St. Paul,MN,55101,Bank Fees,Back Bank Fees
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.59,1/2/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Lundeen Leadership Fund,Political Committee,43.35,1/2/21 0:00,Amazon,Seattle,WA,98109,Office Equipment & Supplies,
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Leslie  Herod,Denver,CO,80207,Contributions,Contribution To Re-Election Campaign
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Tony  Exum,Colorado Springs,CO,80901,Contributions,Re-Election Donation
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Naquetta  Ricks,Aurora,CO,80046,Contributions,Re-Election Contribution
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Jessie  Danielson,Wheat Ridge,CO,80034,Contributions,Re-Election Campaign Contribution
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Tammy  Story,Conifer,CO,80433,Contributions,Re=Election Contribution
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Brittany  Pettersen,Lakewood,CO,80232,Contributions,Campaign Contribution
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,John  Cooke,Greeley,CO,80633,Contributions,$50.00 Contribution To Campaign.
Mental Health Professionals United,Small Donor Committee,50,1/2/21 0:00,Jennifer  Bacon,Denver,CO,80239,Contributions,Re-Election Contribution
Nurses For Politcal Action In Colorado (N-Pac),Political Committee,10,1/2/21 0:00,Umb Bank,Denver,CO,80218,Bank Fees,
Terri Pac,Political Committee,10,1/2/21 0:00,,,,,Bank Fees,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,1.05,1/3/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Lundeen Leadership Fund,Political Committee,50,1/3/21 0:00,Sws Polifi Llc,Fort Lupton,CO,80621,Consultant & Professional Services,
Mental Health Professionals United,Small Donor Committee,100,1/3/21 0:00,Black Democratic  Caucus,Denver,CO,80249,Contributions,Donation With Check 1227
Coana Pac (Colorado Association Of Nurse Anesthetists Political Action Committee),Political Committee,25,1/4/21 0:00,Bank Of The West,Denver,CO,80206,Bank Fees,Bank Fee
Colorado Advocates For Rural Electrification,Political Committee,-200,1/4/21 0:00,Patrick For Colorado,Castle Rock,CO,80104,Returned Expenditure,The Check Was Issued To Mr. Patrick Neville'S Campaign On 8/1/2020. Since The Check Was Not Crashed Within 90 Days We Had Voided The Check.
Colorado Democratic Party,Political Party Committee,1.71,1/4/21 0:00,First Data,Atlanta,GA,30342,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,41.36,1/4/21 0:00,First Data,Atlanta,GA,30342,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,142.12,1/4/21 0:00,First Data,Atlanta,GA,30342,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,2.5,1/4/21 0:00,First Data,Atlanta,GA,30342,Bank Fees,Merchant Fees
Colorado Democratic Party,Political Party Committee,467.07,1/4/21 0:00,United Health Care Premium,Palatine,IL,60094,Employee Services,Health Insurance
Colorado Republican Committee,Political Party Committee,2.5,1/4/21 0:00,Citywide Bank,Aurora,CO,80010,Bank Fees,Bank Fees
Colorado Republican Committee Political Action Committee,Political Committee,5.5,1/4/21 0:00,Citywide Bank,Aurora,CO,80010,Bank Fees,Bank Fees
Colorado Republican Committee Small Donor Committee,Small Donor Committee,2.5,1/4/21 0:00,Citiwide Bank,Aurora,CO,80010,Bank Fees,Bank Fees
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,1.05,1/4/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Duran For Colorado Leadership Fund,Political Committee,29,1/4/21 0:00,Shoeboxed,Durham,NC,27701,Office Equipment & Supplies,
Forever Young Pac,Political Committee,1000,1/4/21 0:00,Kylie  Gruppo,Denver,CO,80218,Consultant & Professional Services,
Friends Of Colorado Hospitals (F/K/A Hospitals Express Legislative Preference),Political Committee,25.95,1/4/21 0:00,,,,,Bank Fees,
Investher,Political Committee,50,1/4/21 0:00,Squarespace Inc.,New York,NY,10014,Other,Website And Email Hosting And Maintenance
Libertarian Party Of Colorado (Lpco),Political Party Committee,90,1/4/21 0:00,Libertarian National Committee,Alexandria,VA,22314,Consultant & Professional Services,State Crm Plan Monthly Subscription
Susan Lontine Leadership Fund,Political Committee,2,1/4/21 0:00,1St Bank,Lakewood,CO,80215,Bank Fees,
The Coleman Leadership Fund,Political Committee,1.03,1/4/21 0:00,Patreon Inc.,Pali Alto,CA,94306,Other,Subscription
United Colorado Committee,Political Party Committee,16.17,1/4/21 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Rent & Utilities,In Kind - Videoconferencing
Wine And Spirits Wholesalers Of Colorado Inc Pac,Political Committee,29.95,1/4/21 0:00,Bank Of America,Denver,CO,80206,Bank Fees,Monthly Fee For Business Advantage
Kc Becker Leadership Fund,Political Committee,625,1/5/21 0:00,Dave Young For Colorado,Greeley,CO,80631,Contributions,
Seiu Colorado Small Donor Committee,Small Donor Committee,-5000,1/5/21 0:00,Colorado Democratic Party,Denver,CO,80203,Returned Expenditure,Refund Of 10/22/2020 Contribution
Colorado Bankers Association State Pac,Political Committee,2500,1/6/21 0:00,Values First Colorado,Golden,CO,80401,Contributions,Donation
Colorado Bankers Association State Pac,Political Committee,2500,1/6/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,Donation
Colorado Bankers Association State Pac,Political Committee,650,1/6/21 0:00,Dave Young For Colorado,Greeley,CO,80631,Contributions,Donation
Colorado Democratic Party,Political Party Committee,31.29,1/6/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Democratic Party Congressional District 4 Colorado,Political Party Committee,10,1/6/21 0:00,Action Network,Washington,DC,20036,Other,This Was A One Time Recurring Charge. Account With Action Network Was Cancelled.
Kc Becker Leadership Fund,Political Committee,625,1/6/21 0:00,Phil Weiser For Colorado,Denver,CO,80230,Contributions,
Colorado Committee Of Auto Retailers (Colo C.A.R.),Political Committee,2500,1/7/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Colorado Committee Of Auto Retailers (Colo C.A.R.),Political Committee,2500,1/7/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Colorado Committee Of Auto Retailers (Colo C.A.R.),Political Committee,2500,1/7/21 0:00,All Together Colorado,Denver,CO,80206,Contributions,
Colorado Committee Of Auto Retailers (Colo C.A.R.),Political Committee,2500,1/7/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,
Colorado Democratic Party,Political Party Committee,74.5,1/7/21 0:00,Google,Mountain View,CA,94043,Office Equipment & Supplies,Software License Fees
Colorado Health Care Association Pc,Political Committee,2500,1/7/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Colorado State Assn. Of Health Underwriters Pac (Csahu),Political Committee,0.97,1/7/21 0:00,Stripe,San Francisco,CA,94107,Bank Fees,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Brittany Pettersen For Colorado,Lakewood,CO,80226,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Chris Holbert For Senate,Parker,CO,80134,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Chris Kennedy For Colorado,Lakewood,CO,80215,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Committee To Elect Jerry Sonnenberg,Sterling,CO,80751,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Dominique Jackson For Colorado House,Aurora,CO,80011,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Edie Hooton For State House,Boulder,CO,80304,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Fenberg For Senate,Boulder,CO,80302,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Garnett For Colorado,Denver,CO,80218,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Janet Buckner For Colorado,Aurora,CO,80014,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Jeni Arndt For Colorado,Fort Collins,CO,80521,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Jessie Danielson For Colorado,Wheat Ridge,CO,80033,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Joann Ginal For Colorado,Fort Collins,CO,80524,Contributions,
Marijuana Industry Group Political Action Committee (Mig Pac),Political Committee,400,1/7/21 0:00,Ortiz For Colorado,Littleton,CO,80121,Contributions,
Realtor Small Donor Committee (Rsdc),Small Donor Committee,2500,1/7/21 0:00,Senate Majority Fund,Denver,CO,80205,Contributions,
Realtor Small Donor Committee (Rsdc),Small Donor Committee,2500,1/7/21 0:00,Restore Colorado Leadership Fund,Loveland,CO,80537,Contributions,
Realtor Small Donor Committee (Rsdc),Small Donor Committee,2500,1/7/21 0:00,Better Colorado Alliance,Denver,CO,80206,Contributions,Caucus Senate Democrats
Vail Resorts Employee Political Action Committee,Political Committee,400,1/7/21 0:00,Coleman For Colorado,Denver,CO,80249,Contributions,
