District,candidate,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 01,"Diaz, Guillermo",17.8,10/13/21 0:00,,,,,Office Equipment & Supplies,Checks
House District 01,"Mabrey, Javier",20.95,4/6/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website Domain
House District 01,"Mabrey, Javier",677,4/18/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",77,4/25/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",8,5/2/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",250,5/2/21 0:00,Colorado Democratic Party,Denver,CO,80203,Consultant & Professional Services,Van Access
House District 01,"Mabrey, Javier",2050,5/5/21 0:00,Wollhat Creative,Denver,CO,80218,Consultant & Professional Services,Launch Video.
House District 01,"Mabrey, Javier",14,5/9/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",20,5/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",44.99,5/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",30,5/16/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",20,5/23/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",19.99,5/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website.
House District 01,"Mabrey, Javier",74,5/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",350,6/6/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",88,6/11/21 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",129,6/13/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Services
House District 01,"Mabrey, Javier",65,6/14/21 0:00,Email Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",110,6/16/21 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Stamps.
House District 01,"Mabrey, Javier",113,6/20/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",28.92,6/24/21 0:00,Officemax,Arvada,CO,80002,Office Equipment & Supplies,Office Supplies.
House District 01,"Mabrey, Javier",20.95,6/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website Services
House District 01,"Mabrey, Javier",105.9,6/25/21 0:00,C & D Printing,Denver,CO,80212,Consultant & Professional Services,Printing
House District 01,"Mabrey, Javier",82,6/27/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Services
House District 01,"Mabrey, Javier",37.6,6/29/21 0:00,Officemax,Arvada,CO,80002,Office Equipment & Supplies,Office Supplies
House District 01,"Mabrey, Javier",247,6/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",26.28,7/4/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",110,7/7/21 0:00,United States Postal Service,,CO,,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",0.99,7/11/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,7/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Office Equipment & Supplies,Email Service
House District 01,"Mabrey, Javier",1.95,7/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",8.11,7/18/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",1000,7/19/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",228.55,7/20/21 0:00,C & D Printing,Denver,CO,80212,Advertising,
House District 01,"Mabrey, Javier",40.34,7/25/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,7/26/21 0:00,Go Daddy,,,,Advertising,Website
House District 01,"Mabrey, Javier",6.53,8/1/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,8/2/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",51.41,8/8/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",50,8/10/21 0:00,Denver Democratic Central Committee,Denver,CO,80209,Other,Annual Picnic Reservation
House District 01,"Mabrey, Javier",237.79,8/12/21 0:00,C & D Printing,Denver,CO,80212,Advertising,Lit And Business Cards
House District 01,"Mabrey, Javier",65,8/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,8/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",55.92,8/15/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",64.84,8/22/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",1000,8/23/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",20.95,8/25/21 0:00,Go Daddy,,,,Advertising,
House District 01,"Mabrey, Javier",32.6,8/29/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",8.68,9/1/21 0:00,King Soopers,Lakewood,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",150.8,9/1/21 0:00,United States Postal Service,,CO,,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",5,9/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",25.71,9/2/21 0:00,Office Depot,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",68.04,9/5/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,9/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",1000,9/9/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",68.79,9/12/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,9/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,9/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",6.92,9/19/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",90.68,9/26/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",700,9/27/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",20.95,9/27/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",246.48,9/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",-65,9/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,Offset Due To Update Of Filed Item
House District 01,"Mabrey, Javier",5,10/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",19.77,10/3/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",2.38,10/10/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,10/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Other,Email List Maintenance
House District 01,"Mabrey, Javier",1.95,10/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",117.99,10/17/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,10/21/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",15.63,10/24/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,10/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",3.37,10/31/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,11/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",1000,11/2/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",17.78,11/7/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,11/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",5.54,11/14/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,11/15/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,11/15/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",15.62,11/21/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,11/26/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",15.23,11/28/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,12/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",63.28,12/5/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,12/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",94.54,12/12/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,12/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,12/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",1250,12/13/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",32.98,12/16/21 0:00,Office Depot,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",6.47,12/17/21 0:00,Kaladi Brothers Coffee,Denver,CO,80210,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",13.65,12/19/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",39.74,12/20/21 0:00,Jaime'S Mexican Restaurant,Denver,CO,80227,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",9.7,12/20/21 0:00,Kaladi Brothers Coffee,Denver,CO,80210,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",1,12/23/21 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,
House District 01,"Mabrey, Javier",10.88,12/26/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,12/27/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",12.86,12/31/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 02,"Woodrow, Steven",16.3,10/26/21 0:00,"Zoom Video Communications, Inc.",San Jose,CA,95113,Office Equipment & Supplies,
