committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Cut Property Taxes,Issue Committee,311911.82,7/8/21 0:00,Victors Canvassing,Colorado Springs,CO,80903,Consultant & Professional Services,Signature Gathering
Cut Property Taxes,Issue Committee,300000,5/4/21 0:00,Victors Canvassing,Colorado Springs,CO,80903,Consultant & Professional Services,Signature Gathering
Cut Property Taxes,Issue Committee,256816,6/10/21 0:00,Victors Canvassing,Colorado Springs,CO,80903,Consultant & Professional Services,Signature Gathering
The Committee For Spending Transparency,Issue Committee,253500,4/20/21 0:00,Blitz Canvassing,Denver,CO,80231,Other,Signature Gathering
Yes On Prop. 119,Issue Committee,250000,10/25/21 0:00,Ascent Media,Denver,CO,80231,Advertising,Tv Advertising And Production
Yes On Prop. 119,Issue Committee,240000,4/26/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Deposit For Canvassing
Yes On Prop. 119,Issue Committee,225244,9/20/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Signature Collection
Colorado Character,Issue Committee,224137.68,8/11/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Petition Signature Collection
Colorado Character,Issue Committee,220378.27,9/23/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Collection
Cut Property Taxes,Issue Committee,200000,10/20/21 0:00,Majority Strategies Llc,Jacksonville,FL,32258,Advertising,Digital Ads
Cut Property Taxes,Issue Committee,166000,10/25/21 0:00,Majority Strategies Llc,Jacksonville,FL,32258,Advertising,Digital Ads
Yes On Prop. 119,Issue Committee,150000,10/26/21 0:00,Ascent Media,Denver,CO,80231,Advertising,Tv Advertising And Production
The Committee For Spending Transparency,Issue Committee,134546.5,6/10/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Gathering
Yes On Prop. 119,Issue Committee,126672,5/24/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Canvassing
Yes On Prop. 119,Issue Committee,123528,7/29/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Signature Collection
Yes On Prop. 119,Issue Committee,117438,7/29/21 0:00,Blitz Canvassing Llc,Denver,CO,80231,Consultant & Professional Services,Signature Collection
The Committee For Spending Transparency,Issue Committee,114477,7/14/21 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Signature Gathering
