District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
State Treasurer,"Sias, Lang",Republican,0.5,11/14/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,2.3,11/16/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,2.3,11/17/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,11/17/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,50.3,11/17/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,8.3,11/19/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,20.3,11/22/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,10.3,11/23/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,2.3,11/30/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,25.3,11/30/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,1.3,12/1/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,2.3,12/1/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/1/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/1/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,8.3,12/1/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,1.3,12/2/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,2.3,12/2/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/2/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,50.3,12/2/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/6/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,0.7,12/8/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,16.3,12/15/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,10.3,12/15/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,20.3,12/16/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,10.3,12/20/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,40.3,12/22/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/22/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,8.3,12/22/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,4.3,12/22/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,20.3,12/24/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,8.3,12/28/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
State Treasurer,"Sias, Lang",Republican,48.3,12/29/21 0:00,Anedot,New Orleans,LA,70112,Other,Credit Card Processing
