District,candidate,Party,loan_amount,loan_date,payment_amount,payment_date,loan_balance,filed_date
House District 43,"Huffman, Kurt",Republican,50000,8/24/21 0:00,,,50000,11/2/21 0:00
Governor,"Clark, Laurie",Republican,50000,4/28/21 0:00,,,50000,4/29/21 0:00
Governor,"Ganahl, Heidi",Republican,50000,9/14/21 0:00,,,50000,10/15/21 0:00
Secretary of State,"O'Donnell, Francis",Republican,50000,12/14/21 0:00,,,50000,1/16/22 0:00
House District 06,"Camacho, Sean",Democratic,10000,12/31/21 0:00,,,10000,1/17/22 0:00
House District 14,"Sandridge, Shane",Republican,10000,9/30/21 0:00,,,10000,10/11/21 0:00
Senate District 01,"Van Beber, Tonya",Republican,7000,11/1/21 0:00,,,7000,1/18/22 0:00
House District 21,"Bradfield, Mary",Republican,6000,12/10/21 0:00,,,6000,1/18/22 0:00
Senate District 11,"Avila, Yolanda",Democratic,5000,11/22/21 0:00,,,5000,1/3/22 0:00
House District 55,"Weber, Patricia",Republican,5000,12/28/21 0:00,,,5000,1/7/22 0:00
Secretary of State,"Anderson, Pam",Republican,5000,10/21/21 0:00,,,5000,1/18/22 0:00
Secretary of State,"Anderson, Pam",Republican,5000,12/9/21 0:00,,,5000,1/18/22 0:00
House District 17,"Stovall, Rachel",Republican,4995,11/3/21 0:00,,,4995,1/14/22 0:00
House District 54,"Anderson, Nina",Republican,3156.04,12/2/21 0:00,,,3156.04,1/1/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,10/18/21 0:00,,,3000,1/12/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,11/15/21 0:00,,,3000,1/12/22 0:00
House District 12,"Bernett, Tracey",Democratic,3000,12/3/21 0:00,,,3000,1/12/22 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,2/16/21 0:00,,,3000,4/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,3/15/21 0:00,,,3000,4/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,4/15/21 0:00,,,3000,7/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,5/15/21 0:00,,,3000,7/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,6/15/21 0:00,,,3000,7/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,7/15/21 0:00,,,3000,10/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,8/15/21 0:00,,,3000,10/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,9/15/21 0:00,,,3000,10/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,10/15/21 0:00,,,3000,1/18/22 0:00
Governor,"Neuschwanger, Danielle",Republican,3000,11/15/21 0:00,,,3000,1/18/22 0:00
House District 46,"Ambler, Jonathan",Republican,2500,11/30/21 0:00,,,2500,1/14/22 0:00
Governor,"Neuschwanger, Danielle",Republican,2039.64,9/1/21 0:00,,,2039.64,10/15/21 0:00
Senate District 20,"Pettersen, Brittany",Democratic,1500,10/13/21 0:00,,,1500,1/13/22 0:00
Governor,"Neuschwanger, Danielle",Republican,1500,3/26/21 0:00,,,1500,4/15/21 0:00
Governor,"Neuschwanger, Danielle",Republican,1500,9/26/21 0:00,,,1500,10/15/21 0:00
Senate District 20,"Pettersen, Brittany",Democratic,1000,8/3/21 0:00,,,1000,1/13/22 0:00
House District 48,"Evans, Gabe",Republican,1000,12/9/21 0:00,,,1000,1/4/22 0:00
House District 45,"Jack, William (Bill)",Republican,1000,10/12/21 0:00,,,1000,1/18/22 0:00
House District 47,"Winter, Ty",Republican,1000,12/11/21 0:00,,,1000,1/4/22 0:00
