District,candidate,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
House District 01,"Diaz, Guillermo",13.79,1/11/22 0:00,Winred,Arlington,VA,22209,Other,7820 ∑ Merchant Account Fees
House District 01,"Diaz, Guillermo",239.18,3/21/22 0:00,Horizon Reprographics,Denver,CO,80223,Other,6621 ∑ Yard Signs
House District 01,"Diaz, Guillermo",44,3/21/22 0:00,Horizon Reprographics,Denver,CO,80223,Other,6623 ∑ Banners
House District 01,"Diaz, Guillermo",550,4/20/22 0:00,Colorado Republican Committee,Greenwood Village,CO,80111,Other,6810 ∑ Registration Fees
House District 01,"Diaz, Guillermo",3.94,5/6/22 0:00,Winred,Arlington,VA,22209,Bank Fees,
House District 01,"Diaz, Guillermo",17.8,10/13/21 0:00,,,,,Office Equipment & Supplies,Checks
House District 01,"Mabrey, Javier",20.95,4/6/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website Domain
House District 01,"Mabrey, Javier",677,4/18/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",77,4/25/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",8,5/2/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",250,5/2/21 0:00,Colorado Democratic Party,Denver,CO,80203,Consultant & Professional Services,Van Access
House District 01,"Mabrey, Javier",2050,5/5/21 0:00,Wollhat Creative,Denver,CO,80218,Consultant & Professional Services,Launch Video.
House District 01,"Mabrey, Javier",14,5/9/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",20,5/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",44.99,5/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",30,5/16/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",20,5/23/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",19.99,5/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website.
House District 01,"Mabrey, Javier",74,5/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Ab Technical Expenses
House District 01,"Mabrey, Javier",350,6/6/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",88,6/11/21 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",129,6/13/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Services
House District 01,"Mabrey, Javier",65,6/14/21 0:00,Email Octopus,London,UK,EC2A 4NE,Consultant & Professional Services,Email Services
House District 01,"Mabrey, Javier",110,6/16/21 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Stamps.
House District 01,"Mabrey, Javier",113,6/20/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",28.92,6/24/21 0:00,Officemax,Arvada,CO,80002,Office Equipment & Supplies,Office Supplies.
House District 01,"Mabrey, Javier",20.95,6/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Consultant & Professional Services,Website Services
House District 01,"Mabrey, Javier",105.9,6/25/21 0:00,C & D Printing,Denver,CO,80212,Consultant & Professional Services,Printing
House District 01,"Mabrey, Javier",82,6/27/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Services
House District 01,"Mabrey, Javier",37.6,6/29/21 0:00,Officemax,Arvada,CO,80002,Office Equipment & Supplies,Office Supplies
House District 01,"Mabrey, Javier",247,6/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,Actblue Technical Expenses
House District 01,"Mabrey, Javier",26.28,7/4/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",110,7/7/21 0:00,United States Postal Service,,CO,,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",0.99,7/11/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,7/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Office Equipment & Supplies,Email Service
House District 01,"Mabrey, Javier",1.95,7/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",8.11,7/18/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",1000,7/19/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",228.55,7/20/21 0:00,C & D Printing,Denver,CO,80212,Advertising,
House District 01,"Mabrey, Javier",40.34,7/25/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,7/26/21 0:00,Go Daddy,,,,Advertising,Website
House District 01,"Mabrey, Javier",6.53,8/1/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,8/2/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",51.41,8/8/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",50,8/10/21 0:00,Denver Democratic Central Committee,Denver,CO,80209,Other,Annual Picnic Reservation
House District 01,"Mabrey, Javier",237.79,8/12/21 0:00,C & D Printing,Denver,CO,80212,Advertising,Lit And Business Cards
House District 01,"Mabrey, Javier",65,8/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,8/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",55.92,8/15/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",64.84,8/22/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",1000,8/23/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",20.95,8/25/21 0:00,Go Daddy,,,,Advertising,
House District 01,"Mabrey, Javier",32.6,8/29/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",8.68,9/1/21 0:00,King Soopers,Lakewood,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",150.8,9/1/21 0:00,United States Postal Service,,CO,,Office Equipment & Supplies,Stamps
House District 01,"Mabrey, Javier",5,9/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",25.71,9/2/21 0:00,Office Depot,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",68.04,9/5/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,9/9/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",1000,9/9/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",68.79,9/12/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,9/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,
House District 01,"Mabrey, Javier",1.95,9/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",6.92,9/19/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",90.68,9/26/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",700,9/27/21 0:00,Kelly  Fleming,Denver,CO,80203,Consultant & Professional Services,Financial Consulting
House District 01,"Mabrey, Javier",20.95,9/27/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",246.48,9/30/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",32.97,1/4/22 0:00,Pho Duy,Denver,CO,80219,"Food, Beverages and Meals",Campaign Committee Planning Meals
House District 01,"Mabrey, Javier",12.99,1/10/22 0:00,Canva,,CO,,Office Equipment & Supplies,Canva Account Fee
House District 01,"Mabrey, Javier",65,1/13/22 0:00,Emall Octopus,London,UK,EC2A 4NE,Office Equipment & Supplies,Email Octopus Account Fee
House District 01,"Mabrey, Javier",1.95,1/13/22 0:00,Bank,,CO,,Bank Fees,Fee For Transaction
House District 01,"Mabrey, Javier",750,1/19/22 0:00,Curt  Baker,Denver,CO,80206,Employee Services,Payment To Curt Baker - Campaign Consultant
House District 01,"Mabrey, Javier",22.63,1/20/22 0:00,Hudon Hill Denver,Denver,CO,,"Food, Beverages and Meals",Hudson Hill Denver
House District 01,"Mabrey, Javier",1,1/20/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Visa Public Works - Parking Meter Denver
House District 01,"Mabrey, Javier",1,1/20/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Visa Public Works - Parking Meter Denver
House District 01,"Mabrey, Javier",6.37,1/21/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Public Parking
House District 01,"Mabrey, Javier",148.75,1/24/22 0:00,C & D Printing,Denver,CO,80212,Advertising,Printing Literature And Flyers
House District 01,"Mabrey, Javier",276.01,1/24/22 0:00,Office Depot,,CO,,Advertising,Shipping
House District 01,"Mabrey, Javier",20.95,1/25/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain Fee
House District 01,"Mabrey, Javier",92.8,1/25/22 0:00,Usps,Lakewood,CO,80226,Advertising,Mailers
House District 01,"Mabrey, Javier",58.15,1/27/22 0:00,Jaimes,,CO,,"Food, Beverages and Meals",Caucus Planning Meeting
House District 01,"Mabrey, Javier",10.48,1/28/22 0:00,Mail Chimp,,CO,,Fundraising Expenses,Mailchimp Account Fee
House District 01,"Mabrey, Javier",11.99,1/28/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain
House District 01,"Mabrey, Javier",11.99,1/28/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain
House District 01,"Mabrey, Javier",10.96,1/31/22 0:00,King Soopers,Lakewood,CO,,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",3.9,2/1/22 0:00,Conoco,,CO,,"Food, Beverages and Meals",
House District 01,"Mabrey, Javier",5,2/1/22 0:00,First Bank,Lakewod,CO,,Advertising,Internet Fee
House District 01,"Mabrey, Javier",1167.6,2/3/22 0:00,Raffi  Mercuri,,CO,,Employee Services,Pay To Rafii Mercuri
House District 01,"Mabrey, Javier",14.46,2/3/22 0:00,Scale To Win,,CA,,Consultant & Professional Services,Fee With Scale To Win
House District 01,"Mabrey, Javier",29.16,2/7/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain Account Fee
House District 01,"Mabrey, Javier",12.99,2/9/22 0:00,Canva,,CO,,Bank Fees,Canva Account Fee
House District 01,"Mabrey, Javier",4,2/11/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Parking
House District 01,"Mabrey, Javier",6.14,2/11/22 0:00,Kaladi Brothers Coffee,Denver,CO,80210,"Food, Beverages and Meals",Coffee With Team
House District 01,"Mabrey, Javier",65,2/14/22 0:00,Emall Octopus,London,UK,EC2A 4NE,Advertising,Email Octopus Account Fee
House District 01,"Mabrey, Javier",1.95,2/14/22 0:00,Firstbank,,CO,,Bank Fees,Bank Transaction Fee
House District 01,"Mabrey, Javier",2,2/16/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Public Works - Parking Meter
House District 01,"Mabrey, Javier",500,2/17/22 0:00,Kayla  Frawley,Denver,CO,80238,Employee Services,Payment To Kayla Frawley
House District 01,"Mabrey, Javier",961.25,2/22/22 0:00,Artist Proof,,CO,,Advertising,Shirt Printing Order
House District 01,"Mabrey, Javier",75.34,2/23/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain Fee
House District 01,"Mabrey, Javier",20.95,2/23/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain Repair Fee
House District 01,"Mabrey, Javier",54.28,2/24/22 0:00,Pho-Natic,,CO,,"Food, Beverages and Meals",Team Dinner
House District 01,"Mabrey, Javier",15,2/25/22 0:00,Time Park Llc Lot 20,Denver,CO,,Travel & Lodging,Parking For Event
House District 01,"Mabrey, Javier",20.95,2/25/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,Website Domain Account Fee
House District 01,"Mabrey, Javier",4,2/25/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Parking Public Works
House District 01,"Mabrey, Javier",166,2/27/22 0:00,Usps,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",31.54,2/28/22 0:00,E#L Sampa Taqueria,,CO,,"Food, Beverages and Meals",Lunch
House District 01,"Mabrey, Javier",861.37,2/28/22 0:00,Table Public House,Denver,CO,80223,"Food, Beverages and Meals","Mixer, Fundraiser & Training For Caucus/Assembly Delegates"
House District 01,"Mabrey, Javier",10.48,2/28/22 0:00,Mailchimp,,CO,,Office Equipment & Supplies,Mail Chimp Account Fee
House District 01,"Mabrey, Javier",5,3/1/22 0:00,Firstbank,,CO,,Office Equipment & Supplies,Bill Pay Account Fee
House District 01,"Mabrey, Javier",9.94,3/3/22 0:00,Scale To Win,,CA,,Office Equipment & Supplies,Text Banking
House District 01,"Mabrey, Javier",600,3/4/22 0:00,Sabrina  Pacha,Westminster,CO,80021,Employee Services,"Payment To Sabrina Pacha, Graphic Design And Campaign Consultation"
House District 01,"Mabrey, Javier",58,3/9/22 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Usps Shipping Cost
House District 01,"Mabrey, Javier",12.99,3/9/22 0:00,Canva,,CO,,Office Equipment & Supplies,Canva Account Fee
House District 01,"Mabrey, Javier",82.23,3/10/22 0:00,Home Depot,,CO,,Office Equipment & Supplies,Printing Home Depot Order
House District 01,"Mabrey, Javier",261.4,3/10/22 0:00,Imobiledenver,,CO,,Office Equipment & Supplies,Office Phone
House District 01,"Mabrey, Javier",5,3/10/22 0:00,Usps,Lakewood,CO,80226,Office Equipment & Supplies,Shipping
House District 01,"Mabrey, Javier",100,3/11/22 0:00,Denver Democratic Central Committee,Denver,CO,80209,Miscellaneous,Democratic Party Payment
House District 01,"Mabrey, Javier",28.4,3/14/22 0:00,El Sampa Taqueria,Denver,CO,80223,"Food, Beverages and Meals",Dinner With Team
House District 01,"Mabrey, Javier",65,3/14/22 0:00,Emall Octopus,London,UK,EC2A 4NE,Office Equipment & Supplies,Email Octopus Account Fee
House District 01,"Mabrey, Javier",1.95,3/14/22 0:00,Firstbank,,CO,,Bank Fees,Bank Fee
House District 01,"Mabrey, Javier",205.84,3/15/22 0:00,Santiago Mexican Restuarant,Denver,CO,80260,"Food, Beverages and Meals",Post Assembly Team Dinner
House District 01,"Mabrey, Javier",703.25,3/16/22 0:00,Paw Artist Proof Denver,Denver,CO,,Advertising,Shirts Printed
House District 01,"Mabrey, Javier",1500,3/16/22 0:00,Raffi  Mercuri,,CO,,Employee Services,Payment To Raffi Mercuri
House District 01,"Mabrey, Javier",91.05,3/21/22 0:00,Torres Mexican Food,Denver,CO,80219,"Food, Beverages and Meals",Team Dinner
House District 01,"Mabrey, Javier",95,3/21/22 0:00,Campaign Finance,,CO,,Fundraising Expenses,
House District 01,"Mabrey, Javier",1500,3/24/22 0:00,Kayla  Frawley,Denver,CO,80238,Employee Services,Payment To Kayla Frawley - Campaign Manager
House District 01,"Mabrey, Javier",22,3/25/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,Website Domain Account Fee
House District 01,"Mabrey, Javier",3.25,3/28/22 0:00,Public-Works Parking Meter,Denver,CO,,Travel & Lodging,Parking
House District 01,"Mabrey, Javier",10.48,3/28/22 0:00,Mail Chimp,,CO,,Office Equipment & Supplies,Mail Chimp Account Fee
House District 01,"Mabrey, Javier",2,3/31/22 0:00,Firstbank,,CO,,Bank Fees,Fee For First Bank
House District 01,"Mabrey, Javier",575,4/4/22 0:00,Center On Colfax,,CO,,Advertising,Registration For Pride Parade
House District 01,"Mabrey, Javier",5,4/4/22 0:00,Firstbank,,CO,,Office Equipment & Supplies,Fee For Internet Bill Pay For April
House District 01,"Mabrey, Javier",122.84,4/4/22 0:00,Scale To Win,,CA,,Fundraising Expenses,Scale To Win Fee
House District 01,"Mabrey, Javier",750,4/4/22 0:00,Emily  Sandoval,Longmont,CO,80504,Employee Services,Payment To Emily Sandoval - For Graphic Design And Website
House District 01,"Mabrey, Javier",12.99,4/11/22 0:00,Canva,,CO,,Office Equipment & Supplies,Canva Account Fee
House District 01,"Mabrey, Javier",2.1,4/13/22 0:00,Firstbank,,CO,,Bank Fees,
House District 01,"Mabrey, Javier",70,4/13/22 0:00,Emall Octopus,London,UK,EC2A 4NE,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",250,4/18/22 0:00,David  Ortiz,Littleton,CO,80121,Miscellaneous,Refund To David Ortiz
House District 01,"Mabrey, Javier",500,4/19/22 0:00,Raffi  Mercuri,,CO,,Employee Services,Payment To Raffi Mercuri
House District 01,"Mabrey, Javier",22,4/25/22 0:00,Godaddy .Com,Scottsdale,AZ,85260,Office Equipment & Supplies,Go Daddy Website Domain
House District 01,"Mabrey, Javier",146.32,4/27/22 0:00,Blue Pan Pizza,Denver,CO,80212,"Food, Beverages and Meals",Pizza Order For Joint Fundraiser
House District 01,"Mabrey, Javier",51.21,4/28/22 0:00,Pho Duy,Denver,CO,80219,"Food, Beverages and Meals",Campaign Meeting
House District 01,"Mabrey, Javier",10,4/29/22 0:00,Mailchimp,,CO,,Office Equipment & Supplies,Email List Management
House District 01,"Mabrey, Javier",90,5/2/22 0:00,James  Mabrey,Dallas,TX,75225,Fundraising Expenses,Check To Refund Javier For Purchasing Tickets To The Denver Young Democrats Event At Governor'S Mansion.
House District 01,"Mabrey, Javier",2,5/2/22 0:00,Firstbank,Lakewood,CO,80226,Bank Fees,Banking Fee
House District 01,"Mabrey, Javier",5,5/2/22 0:00,Firstbank,Lakewood,CO,80226,Bank Fees,Internet Bill Pay Fee
House District 01,"Mabrey, Javier",20,5/9/22 0:00,Time Park Llc Lot 20,Denver,CO,,Travel & Lodging,Parking For Cinco De Mayo Event Downtown
House District 01,"Mabrey, Javier",6.49,5/9/22 0:00,Canva,,CO,,Office Equipment & Supplies,Graphic Design Software
House District 01,"Mabrey, Javier",-65,9/13/21 0:00,Email Octopus,London,UK,EC2A 4NE,Advertising,Offset Due To Update Of Filed Item
House District 01,"Mabrey, Javier",5,10/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",19.77,10/3/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",2.38,10/10/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",65,10/13/21 0:00,Emall Octopus,London,UK,EC2A 4NE,Other,Email List Maintenance
House District 01,"Mabrey, Javier",1.95,10/13/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",117.99,10/17/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",12.99,10/21/21 0:00,Canva,,CO,,Office Equipment & Supplies,
House District 01,"Mabrey, Javier",15.63,10/24/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",20.95,10/25/21 0:00,Godaddy .Com,Scottsdale,AZ,85260,Advertising,
House District 01,"Mabrey, Javier",3.37,10/31/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
House District 01,"Mabrey, Javier",5,11/1/21 0:00,First Bank,Lakewod,CO,,Bank Fees,
House District 01,"Mabrey, Javier",1000,11/2/21 0:00,Curt  Baker,Denver,CO,80206,Consultant & Professional Services,Campaign Consulting
House District 01,"Mabrey, Javier",17.78,11/7/21 0:00,Actblue,Somerville,MA,2144,Fundraising Expenses,
