District,candidate,Party,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Secretary of State,"Griswold, Jena",Democratic,1200000,1/7/22 0:00,Bluewest Media,Denver,CO,80220,Advertising,
Attorney General,"Weiser, Philip",Democratic,1076600,3/4/22 0:00,Bluewest Media,Denver,CO,80220,Advertising,Media Funds
Secretary of State,"Griswold, Jena",Democratic,356520,3/3/22 0:00,Bluewest Media,Denver,CO,80220,Advertising,
Secretary of State,"Griswold, Jena",Democratic,228844,3/31/22 0:00,Bluewest Media,Denver,CO,80220,Advertising,
State Treasurer,"Young, David",Democratic,162900,4/12/22 0:00,Bluewest Media,Denver,CO,80220,Advertising,Tv Ad Buy
Governor,"Polis, Jared",Democratic,50000,2/1/22 0:00,Ascend Digital Services,Washington,DC,20001,Other,Data Acquisition
Governor,"Ganahl, Heidi",Republican,44300,1/10/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Governor,"Ganahl, Heidi",Republican,43660,2/8/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Governor,"Ganahl, Heidi",Republican,36970,2/16/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Governor,"Ganahl, Heidi",Republican,32920,2/22/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Governor,"Neuschwanger, Danielle",American Constitution Party,32881.57,3/23/22 0:00,Vistaprint,Waltham,MA,2451,Advertising,Marketing Materials- See Corresponding Candidate Loan
Governor,"Polis, Jared",Democratic,32500,10/14/21 0:00,Ascend Digital Services,Washington,DC,20001,Advertising,Data Acquisition
Governor,"Ganahl, Heidi",Republican,32420,3/2/22 0:00,Blitz Canvassing Llc,Denver,CO,80231,Other,7490 ∑ Other Consultants
Secretary of State,"Anderson, Pam",Republican,30000,4/22/22 0:00,Blitz Canvassing,Denver,CO,80231,Consultant & Professional Services,Petition Circulation
Governor,"Polis, Jared",Democratic,29856.06,3/16/22 0:00,Three Point Media,Washington,DC,20007,Advertising,Production
Governor,"Polis, Jared",Democratic,28837.04,3/10/22 0:00,Gusto,Denver,CO,80202,Employee Services,Payroll
