committee,committee_type,expenditure_amount,expenditure_date,recipient,city,state,zip,expenditure_type,explanation
Coalition For Women And Children,Issue Committee,20,1/4/21 0:00,Clicksend,Berkeley,CA,94705,Other,7223 ∑ Software Expense
Coalition For Women And Children,Issue Committee,0.6,1/4/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Coalition For Women And Children,Issue Committee,24,1/4/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,6490 ∑ Other Website Expense
Recall Polis 2020,Issue Committee,10,1/4/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Service Fee
Recall Polis 2020,Issue Committee,-10,1/4/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Offset Due To Update Of Filed Item - Monthly Service Fee
Recall Polis 2020,Issue Committee,10,1/4/21 0:00,1St Bank,Loveland,CO,80537,Advertising,Monthly Service Fee
Safe And Healthy Colorado,Issue Committee,7,1/4/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Coalition For Women And Children,Issue Committee,0.3,1/5/21 0:00,Fedex,Memphis,TN,38118,Other,6221 ∑ Printing
Coalition For Women And Children,Issue Committee,55.54,1/5/21 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Coalition For Women And Children,Issue Committee,27.25,1/6/21 0:00,Squarespace,San Francisco,CA,94103,Other,6410 ∑ Registration & Hosting
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,50,1/8/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Citizens For Arts To Zoo,Issue Committee,900,1/10/21 0:00,"Kk Ciruli, Cpa",San Clemente,CA,92672,Consultant & Professional Services,
Citizens For Colorado'S Water Inc,Issue Committee,94,1/10/21 0:00,United States Postal Service,Alamosa,CO,81101,Rent & Utilities,P.O. Box Rent
Protect Colorado'S Recovery,Issue Committee,-14221,1/10/21 0:00,"Bluewest Media, Llc",Denver,CO,80220,Returned Expenditure,Media Refund
Recall Polis 2020,Issue Committee,95,1/11/21 0:00,"Wesley Mcconnell, Mcconnell Law",Palmer Lake,CO,80133,Other,Direct Pay By Farmers Korner Kwik Stop To Attorney To Reimburse Service For Recall Extension Summons And Complaint
"Protecting Coloradoís Environment, Economy, And Energy Independence (Protect Colorado)",Issue Committee,2800,1/12/21 0:00,"Strategic Compliance, Llc",Denver,CO,80205,Consultant & Professional Services,Compliance Consulting
Colorado Citizen Voters,Issue Committee,1773.87,1/14/21 0:00,Michele M Austin,Englewood,CO,80113,Consultant & Professional Services,
Yes On National Popular Vote,Issue Committee,-302.82,1/16/21 0:00,Mcclatchy Insurance Agency,Sacramento,CA,95825,Returned Expenditure,Expenditure Refund
Yes On National Popular Vote,Issue Committee,35,1/19/21 0:00,Firstbank,Lakewood,CO,80215,Bank Fees,
Iam27J,Issue Committee,89,1/20/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
Fix Our Damn Roads,Issue Committee,644.48,1/21/21 0:00,Independence Institute,Denver,CO,80203,Contributions,
No On Cc,Issue Committee,26163.53,1/21/21 0:00,Independence Institute,Denver,CO,80203,Consultant & Professional Services,
Educators For Equity,Issue Committee,360,1/22/21 0:00,Scarlett Greene,Denver,CO,80210-2812,Consultant & Professional Services,
Protect Colorado'S Recovery,Issue Committee,19.4,1/24/21 0:00,,,,,Office Equipment & Supplies,1099 Software
Protect Colorado'S Recovery,Issue Committee,12,1/25/21 0:00,,,,,Bank Fees,
Yes On National Popular Vote,Issue Committee,85.55,1/26/21 0:00,E-File Magic,Portland,OR,97294,Office Equipment & Supplies,1099 Software
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,33.95,1/27/21 0:00,E-File Magic,Portland,OR,97294,Office Equipment & Supplies,1099 Software
Campaign For Real Election Protection,Issue Committee,10,1/29/21 0:00,"Wells Fargo Bank, Na",Highlands Ranch,CO,80129,Bank Fees,
Coalition For Women And Children,Issue Committee,2,1/29/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Colorado Rising For Health And Safety,Issue Committee,2,1/29/21 0:00,Firstbank Of Boulder,Boulder,CO,80301,Bank Fees,Bank Charge Toward Credit Card
Educators For Equity,Issue Committee,2,1/29/21 0:00,,,,,Bank Fees,
Iam27J,Issue Committee,5,1/29/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Bank Fee For Paper Statement
Protect Colorado'S Recovery,Issue Committee,300,1/29/21 0:00,Rkg Development,Lafayette,CO,80026,Consultant & Professional Services,Compliance Consulting
Stop The Wolf Pac,Issue Committee,0.5,1/29/21 0:00,Campaign Solutions,Alexandria,VA,22314,Fundraising Expenses,
Stop The Wolf Pac,Issue Committee,0.51,1/29/21 0:00,Anedot,New Orleans,LA,70112,Bank Fees,
Students Vote No On 115,Issue Committee,17,1/29/21 0:00,City National Bank,Beverly Hills,CA,90210,Bank Fees,
Friends Of St. Vrain And Left Hand Water,Issue Committee,5,1/31/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,Bank Fee
Recall Polis 2020,Issue Committee,10,2/1/21 0:00,1St Bank,Loveland,CO,80537,Bank Fees,Monthly Checking Account Fee
Yes On National Popular Vote,Issue Committee,17487.28,2/1/21 0:00,Institute For Research On Presidential Elections,Los Altos,CA,94023,Contributions,Charitable Contribution
Safe And Healthy Colorado,Issue Committee,7,2/2/21 0:00,Paragon Payment Solutions,Tempe,AZ,85282,Bank Fees,
Coalition For Women And Children,Issue Committee,24,2/3/21 0:00,Google,Mountain Views Parkway,CA,94043,Other,6410 ∑ Registration & Hosting
Coalition For Women And Children,Issue Committee,55.54,2/5/21 0:00,Mailchimp,Atlanta,GA,30308,Other,7350 ∑ Email Service
Citizens For Arts To Zoo,Issue Committee,5000,2/7/21 0:00,Colorado Legislative Strategies,Denver,CO,80203,Consultant & Professional Services,
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,35,2/8/21 0:00,First Bank,Lakewood,CO,80215,Bank Fees,
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,47.7,2/8/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Domain Purchase Coloradopause.Net
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,47.7,2/8/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Domain Purchase Coloradopause.Com
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,60,2/8/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Email Mailbox @Coloradopause.Org
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,33.75,2/8/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Domain Coloradopause.Org
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,282,2/8/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,Transfer Of Rights To Website Through Wix
"No On Prop 118: Higher Taxes, More Bureaucracy, A Lavish, New Program Destined For Bankruptcy",Issue Committee,50,2/9/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Other,Campaign Finance Filing Penalty
"No On Prop 118: Higher Taxes, More Bureaucracy, A Lavish, New Program Destined For Bankruptcy",Issue Committee,2000,2/11/21 0:00,Sewald Hanfling,Denver,CO,80203,Consultant & Professional Services,Consulting
Coalition For Women And Children,Issue Committee,1.82,2/12/21 0:00,Fedex,Memphis,TN,38118,Other,7214 ∑ Office Supplies
Coalition For Women And Children,Issue Committee,9.55,2/12/21 0:00,Usps,Washington,DC,20260,Other,7215 ∑ Shipping & Postage
Campaign For Real Election Protection,Issue Committee,50,2/19/21 0:00,Colorado Secretary Of State,Denver,CO,80290,Miscellaneous,Penalty 2021E000054
Iam27J,Issue Committee,89,2/19/21 0:00,Nationbuilder,Los Angeles,CA,90071,Consultant & Professional Services,Nationbuilder
"A Brighter, Healthier Future For Colorado'S Kids",Issue Committee,31.25,2/24/21 0:00,Zebra Incorporated,Denver,CO,80207,Consultant & Professional Services,Graphic Design
Campaign For Real Election Protection,Issue Committee,10,2/26/21 0:00,"Wells Fargo Bank, Na",Highlands Ranch,CO,80129,Bank Fees,Bank Fees
Coalition For Women And Children,Issue Committee,2,2/26/21 0:00,Firstbank North,Arvada,CO,80006,Other,7810 ∑ Service Charges
Colorado Rising For Health And Safety,Issue Committee,2,2/26/21 0:00,Firstbank Of Boulder,Boulder,CO,80301,Bank Fees,Bank Charge Toward Credit Card
Educators For Equity,Issue Committee,2,2/26/21 0:00,,,,,Bank Fees,
Iam27J,Issue Committee,5,2/26/21 0:00,Tbk Bank,Bettenforf,IA,52722,Bank Fees,Paper Fee
Students Vote No On 115,Issue Committee,17,2/26/21 0:00,City National Bank,Beverly Hills,CA,90210,Bank Fees,
Protect Animals From Unnecessary Suffering And Exploitation,Issue Committee,47.7,2/27/21 0:00,Alexander  Sage,Broomfield,CO,80038,Contributions,"Domain Name Purchase
Copause.Org"
